url,source,entity_type,entity_id,status_code,final_url,redirect_hops,canonical,robots_meta,x_robots_tag,in_sitemap,internal_links_to_url,index_intent,notes
https://www.poshaktaranom.ir/blog/trendy-womens-shirt-1405,sitemap,blog,,200,https://www.poshaktaranom.ir/blog/trendy-womens-shirt-1405,0,https://www.poshaktaranom.ir/blog/trendy-womens-shirt-1405,"index,follow,max-image-preview:large",,yes,1,INDEX,
https://www.poshaktaranom.ir/blog/summer-manto-trends-1405,sitemap,blog,,200,https://www.poshaktaranom.ir/blog/summer-manto-trends-1405,0,https://www.poshaktaranom.ir/blog/summer-manto-trends-1405,"index,follow,max-image-preview:large",,yes,1,INDEX,
https://www.poshaktaranom.ir/,crawl_seed,home,,200,https://www.poshaktaranom.ir/,0,https://www.poshaktaranom.ir,"index, follow",,yes,47,INDEX,
https://www.poshaktaranom.ir/products?page=2,crawl_seed,products,,200,https://www.poshaktaranom.ir/products?page=2,0,https://www.poshaktaranom.ir/products,"noindex, follow",,no,4,NOINDEX,
https://www.poshaktaranom.ir/products?sort=price,crawl_seed,products,,200,https://www.poshaktaranom.ir/products?sort=price,0,https://www.poshaktaranom.ir/products,"noindex, follow",,no,0,NOINDEX,
https://www.poshaktaranom.ir/products?q=%D9%85%D8%A7%D9%86%D8%AA%D9%88,crawl_seed,products,,200,https://www.poshaktaranom.ir/products?q=%D9%85%D8%A7%D9%86%D8%AA%D9%88,0,https://www.poshaktaranom.ir/products,"noindex, follow",,no,0,NOINDEX,
https://www.poshaktaranom.ir/account,crawl_seed,account,,200,https://www.poshaktaranom.ir/account,0,,"noindex, nofollow",,no,46,NOINDEX,
https://www.poshaktaranom.ir/checkout,crawl_seed,checkout,,200,https://www.poshaktaranom.ir/checkout,0,,"noindex, nofollow",,no,0,NOINDEX,
https://www.poshaktaranom.ir/search,crawl_seed,search,,301,https://www.poshaktaranom.ir/products,1,https://www.poshaktaranom.ir/products,"index, follow",,no,0,REDIRECT,SEED_REDIRECT
https://www.poshaktaranom.ir/shop,crawl_seed,shop,,301,https://www.poshaktaranom.ir/products,1,https://www.poshaktaranom.ir/products,"index, follow",,no,0,REDIRECT,SEED_REDIRECT
https://www.poshaktaranom.ir/retail,crawl_seed,retail_internal,,200,https://www.poshaktaranom.ir/retail,0,https://www.poshaktaranom.ir,"index, follow","noindex, nofollow",no,0,NOINDEX,
